Metric,SNR_dB,Noisy,mband_py_mel_avr1,mband_py_mel_causal_ogw_avr1,mband_py_mel_deltas
PESQ,-5,1.0658,1.1163,1.1118,1.1154
PESQ,0,1.0937,1.2204,1.2067,1.2089
PESQ,5,1.1733,1.4296,1.4025,1.4024
PESQ,10,1.3446,1.7291,1.6876,1.6835
PESQ,15,1.6468,2.0836,2.0169,2.0092
SI_SDR,-5,-4.9899,-0.2594,-0.4723,-0.4275
SI_SDR,0,-0.0263,4.4282,4.2374,4.2268
SI_SDR,5,4.9955,8.2819,8.1343,8.1157
SI_SDR,10,9.9991,11.582,11.5362,11.5229
SI_SDR,15,14.9989,13.7094,13.6877,13.6751
STOI,-5,0.5866,0.5926,0.5827,0.5832
STOI,0,0.6549,0.6572,0.6496,0.6497
STOI,5,0.7153,0.7247,0.7185,0.7191
STOI,10,0.774,0.7766,0.7728,0.7733
STOI,15,0.8137,0.8172,0.8138,0.8144
DNSMOS_p808_mos,-5,2.4363,2.5741,2.6326,2.6073
DNSMOS_p808_mos,0,2.5694,2.6794,2.7236,2.71
DNSMOS_p808_mos,5,2.7331,2.8011,2.7832,2.7759
DNSMOS_p808_mos,10,2.9111,2.9229,2.9777,2.9812
DNSMOS_p808_mos,15,3.0481,3.0679,3.1577,3.1676
DNSMOS_mos_sig,-5,3.5517,3.5972,3.258,3.288
DNSMOS_mos_sig,0,3.8877,3.7062,3.477,3.4967
DNSMOS_mos_sig,5,3.9827,3.6596,3.5958,3.6159
DNSMOS_mos_sig,10,4.0784,3.7991,3.9078,3.9288
DNSMOS_mos_sig,15,4.0454,3.9186,4.0909,4.1375
DNSMOS_mos_bak,-5,1.6733,2.1649,2.0596,2.0505
DNSMOS_mos_bak,0,1.903,2.3117,2.2313,2.2023
DNSMOS_mos_bak,5,2.1026,2.3996,2.3675,2.3427
DNSMOS_mos_bak,10,2.3277,2.6486,2.7751,2.7214
DNSMOS_mos_bak,15,2.518,3.0503,3.1806,3.1392
DNSMOS_mos_ovr,-5,1.9706,2.3211,2.0948,2.0929
DNSMOS_mos_ovr,0,2.2631,2.4435,2.2756,2.2647
DNSMOS_mos_ovr,5,2.4361,2.4612,2.4121,2.4109
DNSMOS_mos_ovr,10,2.6382,2.6694,2.8326,2.8125
DNSMOS_mos_ovr,15,2.7482,2.9578,3.1655,3.1764
